iteration,accuracy,mean_C
1,0.55,202.0204
1,0.433333333333333,40.0204
1,0.516666666666667,224.2
1,0.416666666666667,42.0004
1,0.533333333333333,220.2004
1,0.466666666666667,402.0004
1,0.433333333333333,202.0204
1,0.516666666666667,0.2008
1,0.5,20.0206
1,0.466666666666667,22.0204
1,0.483333333333333,40.0006
1,0.516666666666667,20.4004
1,0.5,22.2202
1,0.5,202.0006
1,0.516666666666667,202.2004
1,0.516666666666667,20.4004
1,0.416666666666667,20.2402
1,0.45,40.0402
1,0.5,242.02
1,0.466666666666667,20.4202
1,0.5,242.0002
1,0.5,2.2402
1,0.516666666666667,400.2004
1,0.416666666666667,2.2204
1,0.55,220.2202
1,0.5,2.0404
1,0.533333333333333,240.4
1,0.5,222.0202
1,0.516666666666667,20.0008
1,0.45,2.08
1,0.5,0.0406
1,0.55,422.0002
1,0.45,222.0004
1,0.45,4.42
1,0.5,62.2
1,0.5,22.0204
1,0.5,220.2202
1,0.516666666666667,402.4
1,0.55,400.2202
1,0.483333333333333,22.0204
1,0.583333333333333,200.26
1,0.566666666666667,240.2002
1,0.4,2.4202
1,0.483333333333333,220.2004
1,0.5,22.0402
1,0.516666666666667,200.2204
1,0.5,20.0602
1,0.483333333333333,220.0204
1,0.483333333333333,400.0402
1,0.533333333333333,40.0402
1,0.5,22.0006
1,0.483333333333333,40.0204
1,0.433333333333333,422.2
1,0.516666666666667,202.24
1,0.5,240.4
1,0.416666666666667,60.22
1,0.5,220.2202
1,0.516666666666667,20.0008
1,0.45,220.2202
1,0.466666666666667,200.2402
1,0.583333333333333,202.2202
1,0.483333333333333,202.0006
1,0.5,0.0406
1,0.5,240.0202
1,0.433333333333333,402.0202
1,0.5,222.0202
1,0.433333333333333,20.2204
1,0.466666666666667,2.2402
1,0.483333333333333,40.4002
1,0.55,2.2402
1,0.516666666666667,2.2402
1,0.55,420.0202
1,0.516666666666667,22.0204
1,0.55,0.2404
1,0.483333333333333,20.26
1,0.55,440.02
1,0.516666666666667,220.4002
1,0.5,202.2004
1,0.466666666666667,40.2202
1,0.483333333333333,400.0402
1,0.516666666666667,6.04
1,0.5,202.2202
1,0.566666666666667,220.06
1,0.533333333333333,0.4402
1,0.533333333333333,200.0206
1,0.533333333333333,220.24
1,0.4,20.4202
1,0.516666666666667,40.0006
1,0.516666666666667,20.2402
1,0.483333333333333,2.0008
1,0.516666666666667,202.0204
1,0.533333333333333,400.24
1,0.5,0.6004
1,0.483333333333333,200.26
1,0.5,220.0006
1,0.55,420.0202
1,0.483333333333333,220.4002
1,0.45,222.0004
1,0.5,20.0206
1,0.5,440.02
1,0.533333333333333,40.24
1,0.583333333333333,400.2004
1,0.466666666666667,222.0202
1,0.5,22.0204
1,0.533333333333333,400.2202
1,0.5,20.26
1,0.433333333333333,200.0404
1,0.55,202.4002
1,0.466666666666667,406
1,0.483333333333333,20.0206
1,0.466666666666667,0.2206
