perm_acc,sub_folder,processing_time
0.8395,permute211_WINS_BINS_circular,1766127422
0.876666667,permute212_WINS_BINS_circular,1766127422
0.847666667,permute213_WINS_BINS_circular,1766127422
0.839166667,permute214_WINS_BINS_circular,1766127422
0.842166667,permute215_WINS_BINS_circular,1766127424
0.8445,permute216_WINS_BINS_circular,1766127424
0.869,permute217_WINS_BINS_circular,1766127424
0.8855,permute218_WINS_BINS_circular,1766127424
0.822666667,permute219_WINS_BINS_circular,1766127428
0.857166667,permute21_WINS_BINS_circular,1766127422
0.867166667,permute220_WINS_BINS_circular,1766127428
0.820333333,permute221_WINS_BINS_circular,1766127428
0.889166667,permute222_WINS_BINS_circular,1766127428
0.860166667,permute223_WINS_BINS_circular,1766127428
0.872833333,permute224_WINS_BINS_circular,1766127430
0.851166667,permute225_WINS_BINS_circular,1766127430
0.856666667,permute226_WINS_BINS_circular,1766127430
0.8615,permute227_WINS_BINS_circular,1766127430
0.841166667,permute228_WINS_BINS_circular,1766127430
0.888333333,permute229_WINS_BINS_circular,1766127430
0.866166667,permute22_WINS_BINS_circular,1766127428
0.8265,permute230_WINS_BINS_circular,1766127430
0.871666667,permute231_WINS_BINS_circular,1766127430
0.846666667,permute232_WINS_BINS_circular,1766127432
0.8375,permute233_WINS_BINS_circular,1766127434
0.904,permute234_WINS_BINS_circular,1766127433
0.854833333,permute235_WINS_BINS_circular,1766127432
0.885833333,permute236_WINS_BINS_circular,1766127432
0.875666667,permute237_WINS_BINS_circular,1766127432
0.844,permute238_WINS_BINS_circular,1766127432
0.922833333,permute239_WINS_BINS_circular,1766127431
0.838,permute23_WINS_BINS_circular,1766127430
0.866666667,permute240_WINS_BINS_circular,1766127436
0.848166667,permute241_WINS_BINS_circular,1766127435
0.818666667,permute242_WINS_BINS_circular,1766127435
0.8795,permute243_WINS_BINS_circular,1766127435
0.857666667,permute244_WINS_BINS_circular,1766127436
0.871166667,permute245_WINS_BINS_circular,1766127436
0.860833333,permute246_WINS_BINS_circular,1766127436
0.870833333,permute247_WINS_BINS_circular,1766127436
