iteration,accuracy,mean_C
1,0.383333333333333,206.0002
1,0.566666666666667,240.0004
1,0.583333333333333,402.0004
1,0.5,422.0002
1,0.516666666666667,62.0002
1,0.516666666666667,600.0004
1,0.583333333333333,60.0004
1,0.5,24.0004
1,0.55,2.0008
1,0.516666666666667,220.0006
1,0.483333333333333,604
1,0.583333333333333,6.0004
1,0.483333333333333,42.0004
1,0.566666666666667,420.0004
1,0.5,2.0008
1,0.516666666666667,44.0002
1,0.566666666666667,42.0004
1,0.516666666666667,222.0004
1,0.483333333333333,40.0006
1,0.483333333333333,4.0006
1,0.483333333333333,200.0008
1,0.5,602.0002
1,0.466666666666667,22.0006
1,0.533333333333333,220.0006
1,0.55,420.0004
1,0.466666666666667,224.0002
1,0.516666666666667,2.0008
1,0.433333333333333,422.0002
1,0.5,602.0002
1,0.483333333333333,200.0008
1,0.633333333333333,62.0002
1,0.466666666666667,404.0002
1,0.466666666666667,422.0002
1,0.55,440.0002
1,0.533333333333333,260.0002
1,0.5,2.0008
1,0.383333333333333,244
1,0.5,206.0002
1,0.533333333333333,440.0002
1,0.516666666666667,222.0004
1,0.55,22.0006
1,0.516666666666667,20.0008
1,0.4,222.0004
1,0.5,222.0004
1,0.483333333333333,202.0006
1,0.5,40.0006
1,0.483333333333333,640
1,0.516666666666667,4.0006
1,0.55,404.0002
1,0.45,8.0002
1,0.533333333333333,42.0004
1,0.55,64
1,0.45,206.0002
1,0.5,202.0006
1,0.533333333333333,400.0006
1,0.433333333333333,402.0004
1,0.45,20.0008
1,0.566666666666667,242.0002
1,0.566666666666667,242.0002
1,0.416666666666667,404.0002
1,0.566666666666667,202.0006
1,0.483333333333333,400.0006
1,0.5,222.0004
1,0.566666666666667,64
1,0.533333333333333,20.0008
1,0.4,24.0004
1,0.433333333333333,4.0006
1,0.566666666666667,222.0004
1,0.516666666666667,22.0006
1,0.483333333333333,202.0006
1,0.5,222.0004
1,0.566666666666667,222.0004
1,0.45,42.0004
1,0.516666666666667,242.0002
1,0.5,224.0002
1,0.483333333333333,224.0002
1,0.516666666666667,22.0006
1,0.533333333333333,62.0002
1,0.433333333333333,240.0004
1,0.483333333333333,240.0004
1,0.466666666666667,204.0004
1,0.6,244
1,0.583333333333333,62.0002
1,0.566666666666667,42.0004
1,0.5,244
1,0.583333333333333,224.0002
1,0.533333333333333,640
1,0.433333333333333,220.0006
1,0.483333333333333,20.0008
1,0.55,242.0002
1,0.533333333333333,400.0006
1,0.516666666666667,242.0002
1,0.5,224.0002
1,0.466666666666667,2.0008
1,0.533333333333333,202.0006
1,0.483333333333333,422.0002
1,0.483333333333333,404.0002
1,0.416666666666667,4.0006
1,0.55,20.0008
1,0.55,42.0004
1,0.383333333333333,6.0004
1,0.583333333333333,440.0002
1,0.416666666666667,220.0006
1,0.516666666666667,20.0008
1,0.483333333333333,22.0006
1,0.533333333333333,240.0004
1,0.433333333333333,402.0004
1,0.533333333333333,240.0004
1,0.45,2.0008
1,0.483333333333333,400.0006
1,0.5,224.0002
1,0.533333333333333,402.0004
1,0.483333333333333,280
1,0.416666666666667,640
1,0.566666666666667,204.0004
1,0.55,402.0004
1,0.55,22.0006
1,0.5,420.0004
1,0.483333333333333,400.0006
1,0.483333333333333,20.0008
1,0.433333333333333,6.0004
1,0.45,242.0002
1,0.5,280
1,0.433333333333333,222.0004
1,0.483333333333333,440.0002
1,0.5,2.0008
1,0.516666666666667,200.0008
1,0.433333333333333,4.0006
1,0.483333333333333,24.0004
1,0.483333333333333,400.0006
1,0.533333333333333,60.0004
1,0.516666666666667,42.0004
1,0.583333333333333,24.0004
1,0.533333333333333,24.0004
1,0.55,24.0004
1,0.5,20.0008
1,0.516666666666667,24.0004
1,0.466666666666667,202.0006
1,0.583333333333333,24.0004
1,0.516666666666667,220.0006
1,0.5,240.0004
1,0.55,82
1,0.5,40.0006
1,0.466666666666667,422.0002
1,0.366666666666667,280
1,0.533333333333333,242.0002
1,0.583333333333333,24.0004
1,0.5,0.001
1,0.583333333333333,44.0002
1,0.466666666666667,222.0004
1,0.45,224.0002
1,0.45,222.0004
1,0.516666666666667,64
1,0.45,44.0002
1,0.533333333333333,262
1,0.483333333333333,620.0002
1,0.483333333333333,402.0004
1,0.533333333333333,620.0002
1,0.5,0.001
1,0.483333333333333,400.0006
1,0.516666666666667,224.0002
1,0.583333333333333,402.0004
1,0.383333333333333,622
1,0.483333333333333,420.0004
1,0.416666666666667,204.0004
1,0.5,0.001
1,0.5,202.0006
1,0.566666666666667,422.0002
1,0.466666666666667,44.0002
1,0.5,220.0006
