iteration,accuracy,mean_C
1,0.45,204.0004
1,0.516666666666667,242.0002
1,0.5,224.0002
1,0.516666666666667,4.0006
1,0.5,242.0002
1,0.5,6.0004
1,0.5,222.0004
1,0.583333333333333,24.0004
1,0.483333333333333,260.0002
1,0.55,222.0004
1,0.483333333333333,222.0004
1,0.5,2.0008
1,0.5,222.0004
1,0.5,240.0004
1,0.55,802
1,0.433333333333333,420.0004
1,0.516666666666667,60.0004
1,0.483333333333333,222.0004
1,0.483333333333333,640
1,0.466666666666667,22.0006
1,0.516666666666667,240.0004
1,0.483333333333333,40.0006
1,0.533333333333333,20.0008
1,0.533333333333333,204.0004
1,0.583333333333333,42.0004
1,0.433333333333333,242.0002
1,0.5,220.0006
1,0.5,400.0006
1,0.5,240.0004
1,0.566666666666667,602.0002
1,0.5,220.0006
1,0.466666666666667,64
1,0.55,262
1,0.483333333333333,20.0008
1,0.45,24.0004
1,0.516666666666667,62.0002
1,0.516666666666667,24.0004
1,0.45,402.0004
1,0.483333333333333,42.0004
1,0.483333333333333,206.0002
1,0.5,20.0008
1,0.566666666666667,242.0002
1,0.533333333333333,8.0002
1,0.433333333333333,402.0004
1,0.483333333333333,202.0006
1,0.5,42.0004
1,0.483333333333333,220.0006
1,0.533333333333333,22.0006
1,0.533333333333333,440.0002
1,0.416666666666667,440.0002
1,0.483333333333333,42.0004
1,0.566666666666667,222.0004
1,0.433333333333333,620.0002
1,0.5,62.0002
1,0.516666666666667,22.0006
1,0.466666666666667,204.0004
1,0.5,6.0004
1,0.55,422.0002
1,0.433333333333333,402.0004
1,0.483333333333333,62.0002
1,0.55,22.0006
1,0.433333333333333,222.0004
1,0.466666666666667,22.0006
1,0.483333333333333,42.0004
1,0.483333333333333,28
1,0.483333333333333,80.0002
1,0.5,2.0008
1,0.533333333333333,400.0006
1,0.55,262
1,0.483333333333333,424
1,0.566666666666667,60.0004
1,0.466666666666667,40.0006
1,0.5,40.0006
1,0.5,224.0002
1,0.516666666666667,42.0004
1,0.533333333333333,204.0004
1,0.483333333333333,202.0006
1,0.516666666666667,222.0004
1,0.466666666666667,260.0002
1,0.516666666666667,240.0004
1,0.483333333333333,200.0008
1,0.45,26.0002
1,0.45,42.0004
1,0.533333333333333,2.0008
1,0.5,240.0004
1,0.566666666666667,244
1,0.5,200.0008
1,0.533333333333333,4.0006
1,0.516666666666667,6.0004
1,0.5,204.0004
1,0.5,222.0004
1,0.5,0.001
1,0.45,202.0006
1,0.483333333333333,22.0006
1,0.483333333333333,224.0002
1,0.5,404.0002
1,0.516666666666667,204.0004
1,0.5,2.0008
1,0.533333333333333,40.0006
