perm_acc,sub_folder,processing_time
0.815166667,permute217_WINS_BINS_match,1766127158
0.768666667,permute218_WINS_BINS_match,1766127157
0.683666667,permute219_WINS_BINS_match,1766127157
0.769166667,permute21_WINS_BINS_match,1766127156
0.780333333,permute220_WINS_BINS_match,1766127157
0.746,permute221_WINS_BINS_match,1766127157
0.815833333,permute222_WINS_BINS_match,1766127157
0.79,permute223_WINS_BINS_match,1766127158
0.784166667,permute224_WINS_BINS_match,1766127158
0.822666667,permute225_WINS_BINS_match,1766127158
0.745333333,permute226_WINS_BINS_match,1766127158
0.675,permute227_WINS_BINS_match,1766127158
0.743666667,permute228_WINS_BINS_match,1766127158
0.791166667,permute229_WINS_BINS_match,1766127158
0.8035,permute22_WINS_BINS_match,1766127157
0.744666667,permute230_WINS_BINS_match,1766127158
0.820833333,permute231_WINS_BINS_match,1766127160
0.730166667,permute232_WINS_BINS_match,1766127161
0.808833333,permute233_WINS_BINS_match,1766127160
0.7015,permute234_WINS_BINS_match,1766127160
0.632833333,permute235_WINS_BINS_match,1766127160
0.778666667,permute236_WINS_BINS_match,1766127161
0.772166667,permute237_WINS_BINS_match,1766127162
0.799166667,permute238_WINS_BINS_match,1766127162
0.688,permute239_WINS_BINS_match,1766127163
0.749166667,permute23_WINS_BINS_match,1766127158
0.842166667,permute240_WINS_BINS_match,1766127163
0.741833333,permute241_WINS_BINS_match,1766127163
0.827666667,permute242_WINS_BINS_match,1766127169
0.7665,permute243_WINS_BINS_match,1766127168
0.714833333,permute244_WINS_BINS_match,1766127169
0.7765,permute245_WINS_BINS_match,1766127169
0.622,permute246_WINS_BINS_match,1766127170
0.765,permute247_WINS_BINS_match,1766127170
0.720333333,permute248_WINS_BINS_match,1766127170
0.806666667,permute249_WINS_BINS_match,1766127170
0.8575,permute24_WINS_BINS_match,1766127163
0.754166667,permute250_WINS_BINS_match,1766127170
0.826833333,permute251_WINS_BINS_match,1766127171
0.767,permute252_WINS_BINS_match,1766127171
0.788833333,permute253_WINS_BINS_match,1766127171
0.766166667,permute254_WINS_BINS_match,1766127171
0.698166667,permute255_WINS_BINS_match,1766127171
0.753833333,permute256_WINS_BINS_match,1766127171
0.768166667,permute257_WINS_BINS_match,1766127171
0.762,permute258_WINS_BINS_match,1766127171
0.778,permute259_WINS_BINS_match,1766127171
0.7585,permute25_WINS_BINS_match,1766127170
0.7245,permute260_WINS_BINS_match,1766127172
0.759833333,permute261_WINS_BINS_match,1766127171
0.662666667,permute262_WINS_BINS_match,1766127171
0.765666667,permute263_WINS_BINS_match,1766127171
0.701166667,permute264_WINS_BINS_match,1766127172
0.820666667,permute265_WINS_BINS_match,1766127172
0.707333333,permute266_WINS_BINS_match,1766127172
0.825833333,permute267_WINS_BINS_match,1766127172
0.708333333,permute268_WINS_BINS_match,1766127171
0.846666667,permute269_WINS_BINS_match,1766127172
0.732833333,permute26_WINS_BINS_match,1766127171
0.759833333,permute270_WINS_BINS_match,1766127172
0.696333333,permute271_WINS_BINS_match,1766127172
0.616833333,permute272_WINS_BINS_match,1766127172
0.819,permute273_WINS_BINS_match,1766127172
0.757666667,permute274_WINS_BINS_match,1766127172
0.715,permute275_WINS_BINS_match,1766127172
0.765833333,permute276_WINS_BINS_match,1766127172
0.736333333,permute277_WINS_BINS_match,1766127172
0.831833333,permute278_WINS_BINS_match,1766127172
0.814666667,permute279_WINS_BINS_match,1766127172
0.706833333,permute27_WINS_BINS_match,1766127171
0.755166667,permute280_WINS_BINS_match,1766127172
0.7735,permute281_WINS_BINS_match,1766127172
0.729,permute282_WINS_BINS_match,1766127172
0.789833333,permute283_WINS_BINS_match,1766127172
0.766166667,permute284_WINS_BINS_match,1766127172
0.852,permute285_WINS_BINS_match,1766127173
0.687,permute286_WINS_BINS_match,1766127173
0.662333333,permute287_WINS_BINS_match,1766127173
0.821666667,permute288_WINS_BINS_match,1766127174
0.808,permute289_WINS_BINS_match,1766127173
0.694,permute28_WINS_BINS_match,1766127172
0.680333333,permute290_WINS_BINS_match,1766127173
0.803,permute291_WINS_BINS_match,1766127173
0.750333333,permute292_WINS_BINS_match,1766127174
0.754166667,permute293_WINS_BINS_match,1766127174
0.8415,permute294_WINS_BINS_match,1766127174
0.703666667,permute295_WINS_BINS_match,1766127174
0.807166667,permute296_WINS_BINS_match,1766127174
0.778,permute297_WINS_BINS_match,1766127173
0.758333333,permute298_WINS_BINS_match,1766127173
0.743833333,permute299_WINS_BINS_match,1766127175
0.6945,permute29_WINS_BINS_match,1766127173
0.768833333,permute2_WINS_BINS_match,1766127155
0.728666667,permute300_WINS_BINS_match,1766127174
0.710833333,permute301_WINS_BINS_match,1766127174
0.733333333,permute302_WINS_BINS_match,1766127174
0.7855,permute303_WINS_BINS_match,1766127173
0.773833333,permute304_WINS_BINS_match,1766127175
0.758,permute305_WINS_BINS_match,1766127175
