sessID,Role(A=1),Leader(L=1),R_IN_OUT,R_diff_IN,R_diff_OUT,VIF_diff,VIF_IN,VIF_OUT
32,2,1,0.084232762,0.595690515,0.130975563,1.565980157,1.550114706,1.017515936
32,2,0,0.084232762,-0.236803358,-0.051732951,1.078606529,1.068458077,1.024072905
37,1,1,-0.136052911,-0.346489555,0.078442449,1.137725385,1.152049606,1.020016662
37,1,0,-0.136052911,0.130685658,0.035898365,1.118330686,1.049722779,1.101162466
37,2,1,-0.136052911,0.232580791,-0.215511323,1.097139488,1.065913175,1.057363228
37,2,0,-0.136052911,-0.118832713,0.098036936,1.300966695,1.05814144,1.257019623
42,1,1,0.003541488,0.33215553,0.115066105,1.140638882,1.125550702,1.014808006
42,1,0,0.003541488,-0.15718942,-0.075448313,1.209302851,1.149044696,1.060751902
42,2,1,0.003541488,-0.262226081,0.197610374,1.121303466,1.077530237,1.044212913
42,2,0,0.003541488,0.125970734,-0.101094887,1.068298926,1.052014807,1.01650436
46,1,1,0.50050801,0.41797646,-0.064494426,1.37864603,1.831790066,1.51808294
46,1,0,0.50050801,-0.116854008,0.04278859,1.263167533,1.681305622,1.418471156
46,2,1,0.50050801,0.501660234,0.399395811,1.390841906,1.559695602,1.388699071
46,2,0,0.50050801,-0.321279797,-0.285008776,1.18942618,1.454964514,1.37011764
47,1,1,-0.185462475,0.191720394,-0.157187692,1.054938826,1.065523527,1.05236007
47,1,0,-0.185462475,-0.085934827,0.066920595,1.019688994,1.050846698,1.03847043
47,2,1,-0.185462475,0.121632547,-0.197407424,1.04871901,1.043751992,1.070008113
47,2,0,-0.185462475,-0.098373238,0.148062351,1.136896842,1.1169942,1.073537014
52,1,1,0.066359172,0.229974867,-0.456254668,1.381594771,1.098829243,1.314312004
52,1,0,0.066359172,-0.169170028,0.3392698,1.273659217,1.079958195,1.209045898
52,2,1,0.066359172,-0.253738942,0.026440572,1.0709674,1.074952277,1.006446751
52,2,0,0.066359172,0.173520576,-0.012182863,1.05256894,1.04165646,1.019224693
56,1,1,0.282192727,0.279155814,-0.200502751,1.19427643,1.245442928,1.196488549
